,Epoch,B-HGME Test AP,B-HGME Test ROC,B-HGME Test AUPRC
0,0,0.8403606269569843,0.797240649279549,0.8402524078963705
1,1,0.8186818702395631,0.7651840003960442,0.8190010819335973
2,2,0.8355030367796482,0.7885524292653381,0.8357895048558311
3,3,0.8550836698529382,0.8193849083856539,0.8549245425979402
4,4,0.8662264634018387,0.8391561782897878,0.8661642115289385
5,5,0.8722429173970854,0.84944968782397,0.8723484589920392
6,6,0.8792550366523968,0.8599110065347296,0.879112812447776
7,7,0.8841739905446168,0.8657330021316498,0.8839774665376089
8,8,0.8871223146692113,0.8702758622697992,0.8869858594398896
9,9,0.870695243176855,0.8560175424291488,0.8711145424543069
10,10,0.8888046952045818,0.8753905840487368,0.8889063984154413
11,11,0.869860218146854,0.8587439865344966,0.8711364723235295
12,12,0.8712510813036805,0.8600427785996343,0.8735668969480228
13,13,0.8729444135369988,0.8625297033162879,0.8750149089674617
14,14,0.8759380263906597,0.8646817377022447,0.8782937496798067
15,15,0.8946701409381062,0.8837635703386177,0.8945410323982155
16,16,0.8962410719757233,0.8862807079872799,0.8964100904933989
17,17,0.8979999428416565,0.8885055446190404,0.8982739630199763
18,18,0.9009443903483366,0.8922395718063111,0.9015622295264182
19,19,0.902423066587399,0.8927688441333038,0.9032119923877602
20,20,0.9033653071394606,0.8947348687812322,0.9041095097682346
21,21,0.9064550926888544,0.8980761278523921,0.9068635770906122
22,22,0.8966737096325682,0.8874215191790236,0.8983330931881441
23,23,0.9096724496247379,0.900529563535976,0.9108896889774389
24,24,0.9094372320043795,0.9013150997681976,0.9107399337526513
25,25,0.9129359919137556,0.9051364896504327,0.9135279701512538
26,26,0.9156224861284689,0.9068859276170952,0.9170477076056437
27,27,0.9165698025487409,0.9092072272245455,0.9172773367099458
28,28,0.9176072837750319,0.9102664999009888,0.9190600964182918
29,29,0.920197913525423,0.9133467629209426,0.9210411125066303
30,30,0.9211427572102627,0.9148803422287971,0.9224169930635189
31,31,0.9236233554891613,0.9171867173758574,0.9246752644644647
32,32,0.9252197233641366,0.9189732844878798,0.9263535647500624
33,33,0.9269178345149813,0.9208472142948665,0.9280964997825041
34,34,0.9280245574392638,0.9219494402963343,0.929183497578724
35,35,0.9277535951759304,0.9205086838518795,0.9299215889150915
36,36,0.9313095047536541,0.9247151976144159,0.9328345781935888
37,37,0.9329130436971964,0.9265388938717981,0.9343403192762773
38,38,0.913088526680151,0.9046399783340516,0.9164058896084594
39,39,0.9330938159296693,0.9265243334226374,0.9351619301348404
40,40,0.9358213949765215,0.9305874267609408,0.9369186835723428
41,41,0.936346016838678,0.9304723992125709,0.9382068725335528
42,42,0.9376694232050002,0.9320318233176856,0.9395403138362106
43,43,0.9290834155548229,0.9225475107456115,0.9317641928570027
44,44,0.939603194797724,0.934968301902177,0.940879193143072
45,45,0.940990774135779,0.9365408304115365,0.9422622230080683
46,46,0.9416273364999077,0.9371964146349987,0.9430655016261454
47,47,0.9435331413732615,0.9395894244545656,0.9446113646433569
48,48,0.9342403834296839,0.9288674737038288,0.9367569366463513
49,49,0.9443905040817122,0.9405449539307387,0.9457508461350372
50,50,0.9444626968349055,0.9404805239432026,0.9461026567086737
51,51,0.9463176924217841,0.9428884582231593,0.9475370285701454
